Date,Amount,Type,Merchant,Category,Method
"2026/07/13, 20:12:53",$46.76,AUTH,AMAZON.COM LLC,Book Stores,KeyedIn
"2026/07/12, 01:56:32",$35.06,TRANSACTION,AMAZON MKTPL*SL38X6WI3,Book Stores,KeyedIn
"2026/07/11, 22:24:12",$223.63,TRANSACTION,UNIQLO USA LLC,Family Clothing Stores,Online
"2026/07/10, 17:26:58",$175.69,TRANSACTION,UNIQLO USA LLC,Family Clothing Stores,Online
"2026/07/08, 22:47:12",$162.61,TRANSACTION,TOMMY HILFIGER,Family Clothing Stores,Online
"2026/07/04, 18:13:31","$1,091.32",TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/07/04, 17:53:51",$262.17,TRANSACTION,ADIDAS US ONLINE STORE,Sports and Riding Apparel Stores,Online
"2026/07/03, 05:01:34",$37.35,TRANSACTION,AMAZON MKTPL*6H1ZS12Z3,Book Stores,KeyedIn
"2026/07/02, 09:15:08","-$1,176.18",PAYMENT,Payment,N/A,N/A
"2026/06/24, 16:00:06",$81.81,TRANSACTION,AMAZON MKTPL*0X8VI23A3,Book Stores,KeyedIn
"2026/06/21, 09:33:36",$69.50,TRANSACTION,AMAZON.COM*Q903C8GS3,Book Stores,KeyedIn
"2026/06/20, 05:39:54",-$171.20,REFUND,Refund from JD 638 000000638,N/A,N/A
"2026/06/17, 17:35:48",$331.70,TRANSACTION,JD 638 000000638,Shoe Stores,Contactless
"2026/06/15, 18:53:57",$15.63,TRANSACTION,CILANTRO,"Eating Places, Restaurants",Contactless
"2026/06/10, 11:33:37",$125.08,TRANSACTION,AMAZON.COM*YI37T0PF3,Book Stores,KeyedIn
"2026/06/10, 01:47:47",$400.51,TRANSACTION,"SHEIN US SERVICES, LLC._",Family Clothing Stores,Online
"2026/06/09, 12:19:57",$65.21,TRANSACTION,SP SHOPSIMON,Miscellaneous General Merchandise,Online
"2026/06/07, 08:56:01",$38.52,TRANSACTION,AMAZON MKTPL*BK1SS4403,Book Stores,KeyedIn
"2026/06/07, 03:33:43",$68.17,TRANSACTION,AMAZON.COM*7951S5MH3,Book Stores,KeyedIn
"2026/06/06, 00:51:45",$26.50,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/06/05, 15:24:50",$22.06,TRANSACTION,SAMS CLUB.COM 06279,Wholesale Clubs,Online
"2026/06/05, 06:21:38","-$2,330.85",PAYMENT,Payment,N/A,N/A
"2026/06/05, 00:17:26",$70.60,TRANSACTION,AMAZON MKTPL*BK8NA1V32,Book Stores,KeyedIn
